thesis_id,degree,pagerank,community_id
2868333190,98,0.00017343983068868798,10
2868333131,38,7.412027239211341e-05,18
2872988369,30,9.53675213997467e-05,16
2872712978,6,3.0912367793511146e-05,15
2854137646,51,9.785720284244553e-05,10
2868255922,43,0.00011155427120486379,14
2868295057,37,7.976900375039599e-05,14
2872572203,47,0.00012874726245959805,14
2727253558,23,9.298155212684551e-05,0
2735732220,34,0.00010481209893616663,16
2466618301,60,8.871220949024144e-05,18
2714241366,117,0.0002351104666887855,16
2708007460,114,0.00019672416384558376,14
2737844789,69,0.00012648956743130968,10
2451028901,37,8.310954133837322e-05,16
2460637080,240,0.0002752275718882505,1
2447742077,130,0.00015681192770699824,18
2720526425,285,0.0003165729031980928,1
2872809669,201,0.0002676713813929508,10
2738355894,274,0.0002565876351273984,15
2737581722,76,0.00030499602486289503,2
2734397209,156,0.00019103426302468534,14
2718659725,52,0.0001479687390920703,16
2737581719,99,0.00020560387039786625,14
2736919842,52,0.00010369532010064535,2
2731250762,84,0.00017840771965853066,14
2596339142,159,0.00020842247282696805,10
2692210959,157,0.00013016319270840978,29
2692166323,51,0.00012630313276444047,23
2692142159,73,0.00011748751214461152,1
2716532539,245,0.00022057190985979664,15
2739670893,150,0.00017022699355833326,18
2450921667,493,0.0003811195447766796,29
2453517859,383,0.00043026789974561234,4
2450741709,142,0.00017949668369059415,4
2526396487,123,0.0001622657919635218,1
2596670150,453,0.0003401793362108821,29
2597319260,229,0.00026616123254553627,1
2683895789,61,0.0001033076188040627,23
2693468616,1,2.9846767426027642e-05,10
2691928375,125,0.00017771840943634905,10
2713136028,267,0.0002317120683478953,18
2713409600,96,0.00010907707222785695,18
2729058492,417,0.00031905351340720387,29
2732753043,40,0.00010118803587630752,14
2727629197,149,0.0002452910000277385,14
2727903511,159,0.0002045944744331087,1
2640810128,227,0.00025159987909665314,4
2597213960,23,5.654629205920234e-05,10
2726980860,11,4.8881081517212e-05,10
2727054581,24,0.00010477403383704834,16
2733712681,50,0.0001461060759406157,0
2718340542,11,5.812062409549633e-05,0
2737855393,133,0.0002279887265226269,16
2727406345,275,0.00021929879758748194,29
2737859065,192,0.0002833018286741336,1
