"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"The principles of operation for the optically pumped polarized hydrogen ion source based on charge exchange collisions between hydrogen ions and optically pumped electron-spin polarized alkali atoms are described. The problems associated with the use of an optically pumped-charge exchange polarized ion source for 3He are discussed.";"dtupub";"Department of Physics, University of Wisconsin, Madison, WI 53706, USA";"2022-01-13T01:55:58.533Z";"Anderson, L.W.";"";"2702445522";"";"dtu";"1998";"";"10.1016/S0168-9002(97)00830-9";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"2-3";"";"";"179-184";"";"Nuclear Instruments and Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment|Nucl Instrum Meth Phys Res a|Nucl Instrum Meth a|Nucl Instrum Methods Phys Res a|Nucl. Instrum. Methods Phys. Res. Sect. A-accel. Spectrom. Dect. Assoc. Equip|Nucl. Instrum. Methods Phys. Res., Sect. a|Nuclear Instruments and Methods in Physics Research Section a|Nuclear Instruments and Methods in Physics Research Section a Accelerators Spectrometers Detectors and Associated Equipment|Nuclear Instruments and Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment|Nuclear Instruments and Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment";"Nucl Instrum Meth Phys Res a|Nucl Instrum Meth a|Nucl Instrum Methods Phys Res a|Nucl. Instrum. Methods Phys. Res. Sect. A-accel. Spectrom. Dect. Assoc. Equip|Nucl. Instrum. Methods Phys. Res., Sect. a|Nuclear Instruments and Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment|Nuclear Instruments and Methods in Physics Research Section a|Nuclear Instruments and Methods in Physics Research Section a Accelerators Spectrometers Detectors and Associated Equipment|Nuclear Instruments and Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment";"01689002|000101|000000|000000|000000";"402";"";"";"";"";"eng";"53a701f2cb3a8ce17300362b|5cb624e4d9001d01a49944f7";"";"53a701f2cb3a8ce17300362b";"";"elsevier|crossref";"elsevier|crossref";"Optically pumped polarized ion sources"
"We experienced a case of a focal pulmonary F-18 fluoro-2-deoxy-D-glucose (FDG) uptake without pulmonary computed tomography (CT) abnormality probably due to the urine FDG in the upper pole calyx of the left kidney. A 76-year-old male patient was referred for evaluation of the postoperative right lung cancer. Positron emission tomography/CT was performed 1 hour after intravenous injection of FDG and showed a small focus of increased uptake in the left lower lung field accompanying no abnormality in the corresponding lung CT images. The lung uptake was not noted in repeated positron emission tomography/CT images taken after 1 hour, suggesting misplacement of the left renal upper calyx into the lower lung.";"dtupub";"Department of Radiology, Kagoshima Prefectural Ohshima Hospital, Kagoshima, Japan.";"2022-01-11T11:35:42.115Z";"Tani, Atsushi|Kajiya, Yoriko|Nakajo, Masatoyo|Nakajo, Masayuki";"";"2575413414";"";"";"2010";"";"10.1097/RLU.0b013e3181ea32f7";"";"";"article";"dtu_external|dtupub_external";"";"";"";"9";"";"";"713-6|713-716";"";"Clinical Nuclear Medicine|Clinical Nuclear Medicine|Clin Nucl Med|Clin Nucl M|Clin Nucl Med|Clin. Nucl. Med";"Clin Nucl M|Clin Nucl Med|Clin. Nucl. Med|Clinical Nuclear Medicine";"03639762|000089|000035|000009|000000";"35";"";"Aged|Humans|Kidney Calices|Lung|Male|Tomography, X-Ray Computed|Fluorodeoxyglucose F18|Positron-Emission Tomography|Whole Body Imaging";"Aged|Fluorodeoxyglucose F18|Humans|Kidney Calices|Lung|Male|Positron-Emission Tomography|Tomography, X-Ray Computed|Whole Body Imaging";"Aged|Humans|Kidney Calices|Lung|Male|Tomography, X-Ray Computed|Fluorodeoxyglucose F18|Positron-Emission Tomography|Whole Body Imaging";"eng";"5c7e6bead9001d3a43334cb1|54b7322325bab9230a5971b3";"";"54b7322325bab9230a5971b3";"";"crossref|pubmed";"crossref|pubmed";"A focal pulmonary F-18 FDG uptake without pulmonary CT abnormality in PET/CT probably due to mislocation of the urine F-18 FDG in the left upper renal calyx"
"";"dtu|dtupub";"";"2022-01-09T08:12:49.896Z";"S., H.-G.";"";"2428430733";"";"";"1951";"";"10.1097/00002060-195112000-00031";"";"";"article";"dtu_external|dtupub_external";"";"";"";"6";"";"";"397";"";"American Journal of Physical Medicine and Rehabilitation|American Journal of Physical Medicine and Rehabilitation|American Journal of Physical Medicine and Rehabilitation|Am J Phys M|Am J Phys Med Rehab|Am J Phys Med Rehabil|Am. J. Phys. Med. Rehabil|Amer J Phys Med Rehabil|American Journal of Physical Medicine and Rehabilitation";"Am J Phys M|Am J Phys Med Rehab|Am J Phys Med Rehabil|Am. J. Phys. Med. Rehabil|Amer J Phys Med Rehabil|American Journal of Physical Medicine and Rehabilitation";"08949115|000148|000030|000006|000000";"30";"";"";"";"";"eng";"5cbdd97fd9001d01a485d7be";"";"5cbdd97fd9001d01a485d7be";"";"crossref";"crossref";"Die Mikrowellen Und Ihre Therapeutischen M??glichkeiten"
"";"dtu|dtupub";"";"2022-01-04T00:36:00.950Z";"";"";"2514070533";"";"dtu";"1909";"";"10.1016/S0140-6736(00)50239-6";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"173";"";"";"562";"";"Lancet|Lancet|Lancet|Lancet (n Am Ed)|Lancet (sciencedirect)";"Lancet|Lancet (n Am Ed)|Lancet (sciencedirect)";"01406736|000190|000173|000173|000000";"173";"";"";"";"";"eng";"532d3b7e71e572662533b104|5c6fe70fd9001d01a66cdefa";"";"532d3b7e71e572662533b104";"";"elsevier|crossref";"elsevier|crossref";"THE SICULO-CALABRIAN CATACLYSM"
"";"dtu|dtupub";"";"2022-01-05T22:44:06.729Z";"";"";"2460424888";"";"";"1991";"";"";"";"";"other";"dtu_external|dtupub_external";"";"";"";"4";"";"";"";"";"Change";"Change";"";"23";"";"";"";"";"eng";"5d7e0a09d9001d01b8b976af";"";"5d7e0a09d9001d01b8b976af";"Heldref Publications";"jstor";"jstor";"Front Matter"
"A main task for domestic robots is to navigate safely at home, find places and detect objects. We set out to exploit the knowledge available to the robot to constrain the task of understanding the structure of its environment, i.e., ground for safe motion and walls for localisation, to simplify object detection and classification. We start from exploiting the known geometry and kinematics of the robot to obtain ground point disparities. This considerably improves robustness in combination with a histogram approach over patches in the disparity image. We then show that stereo data can be used for localisation and eventually for object detection classification and that this system approach improves object detection and classification rates considerably.";"dtupub";"";"2022-01-11T13:04:33.572Z";"Vincze, Markus|Wohlkinger, Walter|Olufs, Sven|Einramhof, Peter|Schwarz, Robert|Varadarajan, Karthik";"";"2415108251";"";"dtu";"2012";"International Symposium On Leveraging Applications of Formal Methods, Verification and Validation";"10.1007/978-3-642-34781-8_8";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"3642347800|3642347819|9783642347801|9783642347818";"";"";"";"106-120";"";"Leveraging Applications of Formal Methods, Verification, and Validation";"Leveraging Applications of Formal Methods, Verification, and Validation";"";"";"";"Mobile Robot|Ground Plane|Object Class|Support Plane|Stereo Camera";"Ground Plane|Mobile Robot|Object Class|Stereo Camera|Support Plane";"Mobile Robot|Ground Plane|Object Class|Support Plane|Stereo Camera";"eng";"61e6c1224fb0a1142ab7f8ed";"";"61e6c1224fb0a1142ab7f8ed";"Springer Berlin Heidelberg";"nature";"nature";"Object Detection and Classification for Domestic Robots"
"";"dtu|dtupub";"";"2022-01-05T12:42:23.607Z";"Texley, Juliana";"";"2458953009";"";"";"2014";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"9";"";"";"6-9";"";"Science Scope|Science Scope|Science Scope a Journal for Middle Junior High Science Teachers";"Science Scope|Science Scope a Journal for Middle Junior High Science Teachers";"08872376|000085|000037|000009|000000";"37";"";"";"";"";"eng";"5d7db072d9001d01b89e672e";"";"5d7db072d9001d01b89e672e";"National Science Teachers Association";"jstor";"jstor";"GUEST EDITORIAL: Modeling what we can't sense—Using evidence we can"
"As a case study of the Filipino elite's engagement with western medicine, this article looks at the writings of two brothers who studied in Paris in the 1880s, Trinidad H. Pardo de Tavera (1857–1925) and Félix Pardo de Tavera (1859–1932). It focuses first on Trinidad's observations on folk beliefs and popular medicine in the Philippines, and secondly on Félix's doctoral dissertation, in which he examined the causes of foetal death during early pregnancy. Both the Pardo de Tavera brothers found the methods of modern scientific medicine to be greatly superior in diagnosing and treating disease than the diverse practices followed in the Philippines. But in embracing western medicine, I shall argue, they and other young Filipino physicians of their generation simultaneously embraced western moral prejudices and proscriptions that had no basis in science.";"dtu|dtupub";"";"2022-01-05T11:51:18.112Z";"Reyes, Raquel A. G.";"";"19829949";"";"dtu";"2009";"";"10.1093/shm/hkn095";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"1";"";"";"45-60";"";"Social History of Medicine|Social History of Medicine|Soc His Med|Soc Hist Med|Soc. Hist. Med";"Soc His Med|Soc Hist Med|Soc. Hist. Med|Social History of Medicine";"0951631x|000090|000022|000001|000000";"22";"";"Philippines|folk beliefs|popular medicine|Catholicism|scientific medicine|Paris|Hôpital Lariboisière|metrorrhagia|masturbation|foetal death";"Catholicism|Hôpital Lariboisière|Paris|Philippines|foetal death|folk beliefs|masturbation|metrorrhagia|popular medicine|scientific medicine";"Philippines|folk beliefs|popular medicine|Catholicism|scientific medicine|Paris|Hôpital Lariboisière|metrorrhagia|masturbation|foetal death";"und";"55b0bd49c559a822650177f8";"";"55b0bd49c559a822650177f8";"Oxford University Press";"oup";"oup";"Sex, Masturbation and Foetal Death: Filipino Physicians and Medical Mythology in the Late Nineteenth Century"
"";"dtupub";"";"2022-01-13T06:24:12.475Z";"Huber, N. L.|Eads, T. R.|Hasan, R.|Friedman, R. N.";"";"2287020159";"";"dtu";"2004";"";"10.1097/00042871-200401001-00055";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"S88";"";"Journal of Investigative Medicine|Journal of Investigative Medicine|Journal of Investigative Medicine|J Inves Med|J Invest Med|J Investig Med|J. Invest. Med";"J Inves Med|J Invest Med|J Investig Med|J. Invest. Med|Journal of Investigative Medicine";"10815589|000095|000052|000000|000000";"52";"";"";"";"";"eng";"5d06b95ad9001d394c98cb05";"";"5d06b95ad9001d394c98cb05";"";"crossref";"crossref";"ELECTROPHYSIOLOGICAL STUDY OF THE EFFECTS OF POLOXAMER 407 AT A CRAYFISH NEUROMUSCULAR JUNCTION"
"";"dtupub";"";"2022-01-08T03:01:57.088Z";"Rello, J|Ricart, M";"";"2410505677";"";"";"1998";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"18";"";"";"696-697|696-7";"";"Medicina Clinica|Medicina Clinica|Med Clin (barc)|Barcelona|Med Clin|Med Clin (barc)|Med Clin Barcelona|Med Clin-barcelona|Med. Clin";"Barcelona|Med Clin|Med Clin (barc)|Med Clin Barcelona|Med Clin-barcelona|Med. Clin|Medicina Clinica";"00257753|000101|000111|000018|000000";"111";"";"Adult|Age Factors|Body Weight|Catheterization, Central Venous|Child|Child, Preschool|Humans|Infant|Infant, Newborn|Risk Factors|Sepsis";"Adult|Age Factors|Body Weight|Catheterization, Central Venous|Child|Child, Preschool|Humans|Infant|Infant, Newborn|Risk Factors|Sepsis";"Adult|Age Factors|Body Weight|Catheterization, Central Venous|Child|Child, Preschool|Humans|Infant|Infant, Newborn|Risk Factors|Sepsis";"spa";"54b68b761e4536920321e67e";"";"54b68b761e4536920321e67e";"";"pubmed";"pubmed";"Sepsis and central venous catheterization"
