"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtupub";"College of Chemistry & Chemical Engineering, Ningxia Engineering and Research Center for Natural Medicines, Ningxia University, Yinchuan 750021, China";"2022-01-10T06:26:13.345Z";"Li, Rui|Liu, Chun-Fang|Yu, Chun-Jiao|Gu, Peiming";"";"2583015673";"";"dtu";"2018";"";"10.1016/j.tetlet.2018.04.052";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"22";"";"";"2170-2172";"";"Tetrahedron Letters|Tetrahedr L|Tetrahedron Lett|Tetrahedron Letter|Tetrahedron Letters|Tl";"Tetrahedr L|Tetrahedron Lett|Tetrahedron Letter|Tetrahedron Letters|Tl";"00404039|000081|000059|000000|000000";"59";"";"Asymmetric hydrogenation|Schmidt reaction|Total synthesis|Tylophorine";"Asymmetric hydrogenation|Schmidt reaction|Total synthesis|Tylophorine";"Asymmetric hydrogenation|Schmidt reaction|Total synthesis|Tylophorine";"eng";"5cc18b96d9001d62a272ec7f|5af19efa5010df231039bc80";"";"5af19efa5010df231039bc80";"";"crossref|elsevier";"crossref|elsevier";"Total synthesis of (R)-tylophorine by using an asymmetric hydrogenation of the allyl alcohol"
"";"dtu|dtupub";"";"2022-04-29T12:00:37.290Z";"Abbas, Kirellos Said|Abdelazeem, Basel|atef, Mostafa|Mamdouh Mohammed, Suhaila|Manasrah, Nouraldeen|Savarapu, Pramod";"";"2709696838";"";"";"2022";"";"10.1016/j.hrthm.2022.03.146";"";"";"article";"dtu_external|dtupub_external";"";"";"";"5";"";"";"S208";"";"Heart Rhythm";"Heart Rhythm";"15475271|000077|000019|000000|000000";"19";"";"";"";"";"eng";"626bd3650e3d9211468e3d47|626d1c3cd165b71146d1d65f";"";"626d1c3cd165b71146d1d65f";"";"crossref|elsevier";"crossref|elsevier";"PO-641-02 THE EFFECT OF YOGA THERAPY ON PATIENTS WITH RECURRENT VASOVAGAL SYNCOPE: A SYSTEMATIC REVIEW AND META-ANALYSIS"
"";"dtupub";"";"2022-01-09T18:38:44.972Z";"McCarthy Matzko, David";"";"2235608873";"";"dtu";"1997";"";"10.1111/1468-0025.00045";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"3";"";"";"371-397";"";"Modern Theology|Modern Theology|Modern Theology";"Modern Theology";"02667177|000102|000013|000003|000000";"13";"";"";"";"";"eng";"5ca89538d9001d48998c78cd";"";"5ca89538d9001d48998c78cd";"";"crossref";"crossref";"Homosexuality and the Practices of Marriage"
"";"dtu|dtupub";"";"2022-01-08T19:14:13.461Z";"Wright, D. R.";"";"2419518533";"";"dtu";"2006";"";"10.1086/ahr.111.1.166-a";"";"";"article";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"1";"";"";"166-167";"";"American Historical Review|American Historical Review|American Historical Review|Am Hist Rev|Am. Hist. Rev|American Historical Review";"Am Hist Rev|Am. Hist. Rev|American Historical Review";"00028762|000093|000111|000001|000000";"111";"";"";"";"";"eng";"5cb985c2d9001d01a40fd7a9";"";"5cb985c2d9001d01a40fd7a9";"";"crossref";"crossref";"JAMES A. MCMILLIN. The Final Victims: Foreign Slave Trade to North America, 1783-1810. (The Carolina Lowcountry and the Atlantic World.) Columbia: University of South Carolina Press. 2004. Pp. xi, 207. $39.95"
"";"dtu|dtupub";"";"2022-01-05T11:54:41.503Z";"Gasimov, Zaur";"";"2476851293";"";"";"2008";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"12";"";"";"143-144";"";"Osteuropa|Osteuropa|Eastern Europe|Osteuropa Zeitschrift Fuer Gegenwartsfragen Des Ostens";"Eastern Europe|Osteuropa|Osteuropa Zeitschrift Fuer Gegenwartsfragen Des Ostens";"00306428|000091|000058|000012|000000";"58";"";"";"";"";"ger";"5d7dacc7d9001d01b89d5440";"";"5d7dacc7d9001d01b89d5440";"Deutschen Gesellschaft für Osteuropakunde e.V. (DGO)";"jstor";"jstor";"Sowjetische Schriftpolitik zwischen 1917 und 1941. Eine handlungstheoretische Analyse"
"";"dtu|dtupub";"";"2022-11-23T10:23:19.638Z";"";"";"2716907323";"";"";"2022";"";"10.33100/tckhxhnv8.5.InsunYu";"";"";"article";"dtu_external|dtupub_external";"";"";"";"5";"";"";"543-563";"";"Tạp Chí Khoa Học Xã Hội Và Nhân Văn (vnu Journal of Social Sciences and Humanities)|Vietnam Journal of Social Sciences and Humanities|Tckhxhnv";"Tckhxhnv|Tạp Chí Khoa Học Xã Hội Và Nhân Văn (vnu Journal of Social Sciences and Humanities)|Vietnam Journal of Social Sciences and Humanities";"23541172|000077|000008|000005|000000";"8";"";"";"";"";"vie";"637df49755c392765e553997";"";"637df49755c392765e553997";"";"crossref";"crossref";"A Comparative Study on Children’s Inheritance in Le Vietnam and Joseon Korea from the Fifteenth to the Seventeenth Centuries"
"";"dtu|dtupub";"";"2022-01-06T15:16:56.253Z";"";"";"2433212833";"";"";"1976";"";"10.1080/03068377608729790";"";"";"article";"dtu_external|dtupub_external";"";"";"";"1";"";"";"123-124";"";"Asian Affairs|Asian Affairs (london)|Asian Affairs|Asian Aff (lond)|Asian Affairs";"Asian Aff (lond)|Asian Affairs|Asian Affairs (london)";"03068374|000123|000007|000001|000000";"7";"";"";"";"";"eng";"5cafdd54d9001d027b9a0fe6";"";"5cafdd54d9001d027b9a0fe6";"";"crossref";"crossref";"Other publications received"
"";"dtu|dtupub";"";"2024-01-07T02:07:43.203Z";"SLOAN, RACHEL";"";"2730819773";"";"";"2018";"";"";"";"";"article";"dtu_external|dtupub_external";"";"";"";"1381";"";"";"334-335";"";"Burlington Magazine|Burlington Magazine|Burlingt Mag|Burlington Mag|Burlington Magazine";"Burlingt Mag|Burlington Mag|Burlington Magazine";"00076287|000081|000160|001381|000000";"160";"";"";"";"";"eng";"659a076ea0ff2f027c144ef4";"";"659a076ea0ff2f027c144ef4";"The Burlington Magazine Publications Ltd.";"jstor";"jstor";"Degas: Cambridge and Denver"
"The thermal degradation in air of hemp fabric treated with various compounds containing nitrogen, phosphorus, halogens, and boron, in combinations of two compounds, has been studied by differential thermal analysis and thermogravimetry from ambient temperature to 600 C. The kinetic parameters were obtained using the equation of Broido. The values of activation energies for the oxidative decomposition of samples were found to be in the range 52-102 KJmol 1. Hemp fabric treated with flame retardants showed a high limiting oxygen index and char yield which indicated that the flame retardance of treated hemp was improved. Effect of the different elements on degradation behaviors has been proposed.";"dtupub";"College of Chemistry and Environmental Science, Hebei University, Baoding 071002, P. R. China|College of Chemistry and Environmental Science, Hebei University, Baoding 071002, P. R. China,";"2022-01-09T09:04:15.622Z";"Xu, J. Z.|Gao, M.|Guo, H. Z.|Liu, X. L.|Li, Z.|Wang, H.|Tian, C. M.";"";"11399013";"";"dtu";"2002";"";"10.1177/0734904102020003905";"";"";"article";"dtu|dtu_electronic|dtupub_external";"";"";"";"3";"";"";"227-235";"";"Journal of Fire Sciences|Journal of Fire Sciences|J Fire Sci|J. Fire Sci";"J Fire Sci|J. Fire Sci|Journal of Fire Sciences";"07349041|000097|000020|000003|000000";"20";"";"degradation|DTA|flame retardant|hemp|pyrolysis|TG";"DTA|TG|degradation|flame retardant|hemp|pyrolysis";"degradation|DTA|flame retardant|hemp|pyrolysis|TG";"und";"5cbd3910d9001d01a465cc42|576134bcbb09a87738027192";"";"576134bcbb09a87738027192";"Sage Publications";"crossref|sage";"crossref|sage";"Study on the Thermal Degradation of Cellulosic Fibers Treated with Flame Retardants"
"The differences in the objective, starting point, disease spectrum and interventions of acupuncture-moxibustion clinical trials at home and abroad are collected. By taking two articles of acupuncture-moxibustion clinical trials in foreign countries accepted by JAMA as example, the reasons are analyzed on the dual character of negative and positive results obtained in acupuncture-moxibustion trials of foreign countries. The therapeutic regimens in acupuncture-moxibustion clinical trials in foreign countries are lack of TCM thinking, the manipulation of interventions have not displayed the basic principle of TCM in treatment of diseases, which is separated the theory from the practice in treatment with Chinese herbal medicine and acupuncture-moxibustion. Besides, the advantages in therapeutic effect of acupuncture-moxibustion have not been truly reflected. Regarding the dual character of negative and positive results in acupuncture-moxibustion clinical trials of foreign countries, it is suggested that acupuncture-moxibustion has not been thoroughly understood in foreign countries and its research content have not been in compliance with the theory of traditional acupuncture-moxibustion.";"dtu|dtupub";"School of Acupuncture-Moxibustion and Tuina, Beijing University of CM, Beijing 100029, China; Beijing Fengtai Community Health Service Center, Beijing 100071.|School of Acupuncture-Moxibustion and Tuina, Beijing University of CM, Beijing 100029, China.|Sanya Maternal and Child Health Hospital.";"2021-12-22T09:30:59.889Z";"Xie, Yi-Xuan|Li, Rui|Xiang, Yan";"";"2500268353";"";"";"2021";"";"10.13703/j.0255-2930.20200903-k0001";"";"";"article";"dtu_external|dtupub_external";"";"";"";"11";"";"";"1267-1270|1267-70";"";"Zhongguo Zhen Jiu|中国针灸|中國針灸|Zhongguo Zhen Jiu|Chinese Acupuncture and Moxibustion|Zhongguo Zhen Jiu";"Chinese Acupuncture and Moxibustion|Zhongguo Zhen Jiu|中国针灸|中國針灸";"02552930|000078|000041|000011|000000";"41";"";"Clinical Trials as Topic|Medicine, Chinese Traditional|Moxibustion|Acupuncture Therapy|Acupuncture|Internationality|acupuncture and moxibustion|clinical trials|foreign countries|negative and positive|results";"Acupuncture|Acupuncture Therapy|Clinical Trials as Topic|Internationality|Medicine, Chinese Traditional|Moxibustion|acupuncture and moxibustion|clinical trials|foreign countries|negative and positive|results";"Clinical Trials as Topic|Medicine, Chinese Traditional|Moxibustion|Acupuncture Therapy|Acupuncture|Internationality|acupuncture and moxibustion|clinical trials|foreign countries|negative and positive|results";"chi";"618e5a86ce4cc81618461b86";"";"618e5a86ce4cc81618461b86";"";"pubmed";"pubmed";"Understanding the dual character of negative and positive results in acupuncture-moxibustion clinical trials in foreign countries"
